Name, Entropy, A Size, B Size, Elements Per Second, Total Time
Serial Merge, 28, 50, 50, 99864384, 0.00000100135798675183
Serial Merge Branchless, 28, 50, 50, 144631168, 0.00000069141390213190
Bitonic Merge, 28, 50, 50, 155344592, 0.00000064373017494290
Serial Merge, 32, 50, 50, 131072000, 0.00000076293946449368
Serial Merge Branchless, 32, 50, 50, 199728768, 0.00000050067899337591
Bitonic Merge, 32, 50, 50, 190650176, 0.00000052452088539212
Serial Merge, 28, 50, 50, 127100120, 0.00000078678129966647
Serial Merge Branchless, 28, 50, 50, 199728768, 0.00000050067899337591
Bitonic Merge, 28, 50, 50, 262144000, 0.00000038146973224684
Serial Merge, 32, 50, 50, 113359568, 0.00000088214875404447
Serial Merge Branchless, 32, 50, 50, 155344592, 0.00000064373017494290
Bitonic Merge, 32, 50, 50, 199728768, 0.00000050067899337591
Serial Merge, 28, 50, 50, 144631168, 0.00000069141390213190
Serial Merge Branchless, 28, 50, 50, 174762656, 0.00000057220461258112
Bitonic Merge, 28, 50, 50, 466033792, 0.00000021457671550706
Serial Merge, 32, 50, 50, 95325088, 0.00000104904177078424
Serial Merge Branchless, 32, 50, 50, 209715200, 0.00000047683715820312
Bitonic Merge, 32, 50, 50, 199728768, 0.00000050067899337591
Serial Merge, 28, 50, 50, 127100120, 0.00000078678129966647
Serial Merge Branchless, 28, 50, 50, 144631168, 0.00000069141390213190
Bitonic Merge, 28, 50, 50, 246723760, 0.00000040531159584134
Serial Merge, 32, 50, 50, 123361880, 0.00000081062319168268
Serial Merge Branchless, 32, 50, 50, 139810128, 0.00000071525573730469
Bitonic Merge, 32, 50, 50, 1048576000, 0.00000009536743306171
Serial Merge, 28, 50, 50, 161319392, 0.00000061988828292669
Serial Merge Branchless, 28, 50, 50, 161319392, 0.00000061988828292669
Bitonic Merge, 28, 50, 50, 349525312, 0.00000028610230629056
Serial Merge, 32, 50, 50, 161319392, 0.00000061988828292669
Serial Merge Branchless, 32, 50, 50, 349525312, 0.00000028610230629056
Bitonic Merge, 32, 50, 50, 349525312, 0.00000028610230629056
Serial Merge, 28, 50, 50, 127100120, 0.00000078678129966647
Serial Merge Branchless, 28, 50, 50, 161319392, 0.00000061988828292669
Bitonic Merge, 28, 50, 50, 149796576, 0.00000066757201011569
Serial Merge, 32, 50, 50, 199728768, 0.00000050067899337591
Serial Merge Branchless, 32, 50, 50, 1048576000, 0.00000009536743306171
Bitonic Merge, 32, 50, 50, 262144000, 0.00000038146973224684
Serial Merge, 28, 50, 50, 113359568, 0.00000088214875404447
Serial Merge Branchless, 28, 50, 50, 174762656, 0.00000057220461258112
Bitonic Merge, 28, 50, 50, 524288000, 0.00000019073486612342
Serial Merge, 32, 50, 50, 161319392, 0.00000061988828292669
Serial Merge Branchless, 32, 50, 50, 190650176, 0.00000052452088539212
Bitonic Merge, 32, 50, 50, 199728768, 0.00000050067899337591
Serial Merge, 28, 50, 50, 262144000, 0.00000038146973224684
Serial Merge Branchless, 28, 50, 50, 524288000, 0.00000019073486612342
Bitonic Merge, 28, 50, 50, 209715200, 0.00000047683715820312
Serial Merge, 32, 50, 50, 190650176, 0.00000052452088539212
Serial Merge Branchless, 32, 50, 50, 167772160, 0.00000059604644775391
Bitonic Merge, 32, 50, 50, 199728768, 0.00000050067899337591
Serial Merge, 28, 50, 50, 97541952, 0.00000102519993561145
Serial Merge Branchless, 28, 50, 50, 246723760, 0.00000040531159584134
Bitonic Merge, 28, 50, 50, 262144000, 0.00000038146973224684
Serial Merge, 32, 50, 50, 233016896, 0.00000042915343101413
Serial Merge Branchless, 32, 50, 50, 524288000, 0.00000019073486612342
Bitonic Merge, 32, 50, 50, 262144000, 0.00000038146973224684
Serial Merge, 28, 500, 500, 160701296, 0.00000622272500550025
Serial Merge Branchless, 28, 500, 500, 262144000, 0.00000381469726562500
