Name, Entropy, A Size, B Size, Elements Per Second, Total Time
Serial Merge, 28, 50, 50, 76260072, 0.00000131130218505859
Serial Merge Branchless, 28, 50, 50, 161319392, 0.00000061988828292669
Bitonic Merge, 28, 50, 50, 135300128, 0.00000073909757247748
Serial Merge, 32, 50, 50, 99864384, 0.00000100135798675183
Serial Merge Branchless, 32, 50, 50, 167772160, 0.00000059604644775391
Bitonic Merge, 32, 50, 50, 174762656, 0.00000057220461258112
Serial Merge, 28, 50, 50, 107546256, 0.00000092983248123346
Serial Merge Branchless, 28, 50, 50, 233016896, 0.00000042915343101413
Bitonic Merge, 28, 50, 50, 524288000, 0.00000019073486612342
Serial Merge, 32, 50, 50, 139810128, 0.00000071525573730469
Serial Merge Branchless, 32, 50, 50, 246723760, 0.00000040531159584134
Bitonic Merge, 32, 50, 50, 167772160, 0.00000059604644775391
Serial Merge, 28, 50, 50, 123361880, 0.00000081062319168268
Serial Merge Branchless, 28, 50, 50, 233016896, 0.00000042915343101413
Bitonic Merge, 28, 50, 50, 466033792, 0.00000021457671550706
Serial Merge, 32, 50, 50, 144631168, 0.00000069141390213190
Serial Merge Branchless, 32, 50, 50, 262144000, 0.00000038146973224684
Bitonic Merge, 32, 50, 50, 524288000, 0.00000019073486612342
Serial Merge, 28, 50, 50, 167772160, 0.00000059604644775391
Serial Merge Branchless, 28, 50, 50, 233016896, 0.00000042915343101413
Bitonic Merge, 28, 50, 50, 209715200, 0.00000047683715820312
Serial Merge, 32, 50, 50, 144631168, 0.00000069141390213190
Serial Merge Branchless, 32, 50, 50, 233016896, 0.00000042915343101413
Bitonic Merge, 32, 50, 50, 349525312, 0.00000028610230629056
Serial Merge, 28, 50, 50, 107546256, 0.00000092983248123346
Serial Merge Branchless, 28, 50, 50, 246723760, 0.00000040531159584134
Bitonic Merge, 28, 50, 50, 466033792, 0.00000021457671550706
Serial Merge, 32, 50, 50, 174762656, 0.00000057220461258112
Serial Merge Branchless, 32, 50, 50, 299593152, 0.00000033378600505785
Bitonic Merge, 32, 50, 50, 174762656, 0.00000057220461258112
Serial Merge, 28, 50, 50, 190650176, 0.00000052452088539212
Serial Merge Branchless, 28, 50, 50, 349525312, 0.00000028610230629056
Bitonic Merge, 28, 50, 50, 167772160, 0.00000059604644775391
Serial Merge, 32, 50, 50, 161319392, 0.00000061988828292669
Serial Merge Branchless, 32, 50, 50, 199728768, 0.00000050067899337591
Bitonic Merge, 32, 50, 50, 167772160, 0.00000059604644775391
Serial Merge, 28, 50, 50, 199728768, 0.00000050067899337591
Serial Merge Branchless, 28, 50, 50, 466033792, 0.00000021457671550706
